Type,Description,Community,List Price,Sold Price,Taxes,Street Name,St#,Bedroom,BedPlus,Baths,Front,Parking Drive Spaces,Depth,Garage Type,Pool,Remarks For Brokers,Remarks For Clients,Extras,Basement1,Basement2
Att/Row/Twn...,2-Storey,Amberlea,"$529,900","$565,000","$4,023",Graceland,662,3,,3,27,2,119,Attached,None,"Collateral Agreement In Effect*Offers To Be Faxed Or Emailed To La Carlopucci@Royallepage.Ca , Preemptive Offer Received, To Be Presented At 5Pm Feb 22nd. Deposit Cheque Must Be Certified.Pls Attach Schedule B & 801","All Brick-End Unit-Townhome That Looks & Acts Like A Link Detached On A South Facing 26 X 119'Lot *Walk Between Houses On Both Sides*Near The End Of A Family Friendly Court In High Demand Amberlea*Very Well Kept, Bright,Clean Featuring Hrdwd Flrs.Thru-Out*Open Concept Main Features W/O To Deck & Huge Backyard* The Spacious Master Br Has A 2 Pce Ensuite & W/I Closet*Completely Reno'd Main Bath (2014)*Hi-Eff Gas Furnace (2014)* Updated Electrical Panel (2014)","Fridge,Stove,B/I D/W, Washer,Dryer;All Elfs And Window Coverings;Hi-Eff Gas Burner And Equipment,Central Air,Central Vacuum *Storage Shed",Full,Unfinished
Detached,Sidesplit 4,Amberlea,"$728,898","$725,000","$5,048",Jacqueline,807,3,,2,45,2,111,Attached,Inground,"For Easy Appts Click Online Appt Button//Attach Schedule ""B"" On All Offers//","Remodelled, Updated & Renovated 3 Bedrm Open Concept Design, Nestled On Premium Landscaped Lot Complete W/Inground Heated Concrete Pool,Custom Decks, Patio,Outdoor Brick Bbq & Featuring:Hardwood,Upgraded Berber Brlm&Designer Tiles Flring,Beamed Cathedral Ceilings,Open Brick Fireplace,Casement Windows,Open Concept Kitchen Overlooking Fam Rm, Liv&Dining Rms,Private Backyard Oasis For The Growing Family.....","Elfs,Gb&E,Cen Air,Hwt(R),Existing 5 Newer Appls,Inground Pool&Equip,R.I.Cvac,California Shutters,New Insulated Garage Dr,Professionaly Finished Basement W/Spacious Rec Rm& Laundry Rm,Wood Burning Fireplace,Decks,Patios,Outdoor Brick Bbq...",Fin W/O,
Detached,2-Storey,Amberlea,"$799,900","$780,900","$5,216",Millbank,773,4,,4,45,6,110,Attached,None,Please Attach Form 801 & Sch B To All Offers. Lock Box For Easy Showings.,"Absolutely Stunning 4 Bedroom Home Located In The Most Sought After Neighborhood Of Amberlea. Beautiful Layout With Tons Of Natural Light Throughout The House. Gourmet Kitchen With S.S Appliances, Huge Eating Area & Direct Access To Fully Fenced B/Yard & New Stamped Concrete Patio. Master Bedroom With Walk In Closet & Ensuite. Fully Finished Basement With An Office/ Rec, Den & Washroom.","Best Location With Mins To Hwy And Surrounded By Some Of The Best Schools. Includes All Appliances, Elf's. New Windows & Doors (2016) Siding, Front Door (2017), Furnace/ Ac (2014)",Finished,
Detached,2-Storey,Amberlea,"$799,888","$775,000","$5,141",Millbank,782,4,1,4,45,3,115,Attached,None,"Home Renovated In 2016, All Brand New Appliances. Please Give 2 Hrs Notice. For Investors: Seller Is Offering To Lease Property From Buyer For A Year. Conditions And Terms Tbd","Gorgeous Reno's Home On Price Lot In A Highly Desirable Amberlea Area. Private Backyard, Large Patio Backing Onto Park With Top Of The Line Hot Tub Perfect For Entertaining. Updates Include: Kitchen W/ Build In Wine Rack, Granite Counter-Top And Back-Splash, Hardwood Floors, New Washrooms, 3 New Patio Doors,Walk In Closet In Master With K-Pax Unit Ideal For Him And Her. Newly Paved Driveway.","Whirlpool Build In Microwave/Oven, Samsung Fridge With Ice Maker, Whirlpool Dishwasher, Whirlpool Induction Cook-Top, Top Of The Line Samsung Washer & Dryer, Light Dimmers On First Floor. The Bbq Stays!! ( Hot Water Tank Is A Rental)",Finished,
Detached,2-Storey,Amberlea,"$699,000","$690,000","$5,229",Otonabee,1564,3,,4,30,2,114,Attached,None,Please Allow One Hour Notice For Showings If Possible. Include Form 801 And Schedule B.,"Eye Catching Amberlea Family Home. This Home Is Situated In A Peaceful Residential District Close To Schools,Transit And Parks. Gleaming Hardwood Floors Throughout, Laminate In Rec Room. Modern, Customized Open Concept Floor Plan. His/Hers Closets In Master Bedroom And Modern 4 Piece Ensuite. Family Size Breakfast Area With W/O To Deck And Garden.Roof Re-Shingled Approx 2009-2011","Fridge, Stove, Washer, Dryer, B/I Micro ,Garburator & 2017 B/I Dishwasher, All Window Coverings (Excl Lr) & All Electric Light Fixtures. Finished Rec Room With 2 Piece Bath. Great Room With Cozy Corner Fireplace, Tankless Hwt Owned",Finished,
Detached,2-Storey,Amberlea,"$739,900","$685,000","$5,253",Parkside,1885,4,,3,42,2,109,Attached,None,Pre-Home Inspection Available. Please Allow 24Hr Irrevocable On All Offers And Include 801 And Sch B. Buyer And Buyers Agent To Do Due Diligence To Satisfy Themselves With All Measurements And Finishes.,"Beautiful Large 4 Bedroom On A Quiet Street In Amberlea Community. Large Master Bedroom With 3Pc-Ensuite, Walk-In Closet And Walk-Out To Huge Balcony Over Garage (Bring Your Imagination!) Freshly Painted Hallway/Stairwell. Eat-In Kitchen W/Pass Through To Dining Room. Sunken Living Room.Wood Burning Fireplace In Family Room W/Electric Insert. Direct Access To Garage. Entertainers Basement With Pool Table, Wet Bar & Closet With Sink. Landscaped Front & Back!","All Elf, All Wc. Fridge, Stove, B/I-Dishwasher, Hood Fan (As-Is), Washer, Dryer Gb+E, Cac, Hwt (Owned), Roughed In Central Vac. Walking Distance To Schools. Close To Grocery, Shops, Go And Hwy 401. Open House Oct 28/29: Sat 1-3 & Sun 12-2.",Finished,
Semi-Detach...,2-Storey,Amberlea,"$575,900","$565,000","$3,950",Shadybrook,1793,4,,2,34,2,118,Built-In,None,"Hwt Rental (2008) Enbridge $19.78/Monthly. Buyer/Agent To Verify All Room Measurements And Information. Move In Condition! Thank You For Showing. See Attached Schedule B & 801 To Include With All Offers.Please Email To: 37Marygrant@Gmail.Com, $20,000 Deposit Must Be Certified","Spacious Home In Amberlea Community! Immaculate Condition! 4 Br, 2 Ba, (1471 Sq.Ft). Minutes To Schools, Parks, Shopping, 401 And G0 Stn. W/O From Living Room To Deck And Private Fenced Yard. Newer Windows, Eat-In Kitchen, Powder Room Off Main Entrance, Fans In 4 Brs, & Upstairs Hall, Finished Rec Room, Gas Fireplace, Cac, Newer High Efficiency Furnace,Central Vac System. Recently Paved Drive. New Garage Door. Updated Bathroom,","Stove, Fridge, Clothes Washer & Dryer,Freezer Dw, High Efficiency Furnace (Nov 2011), Cac 2004, New Garage Door, New Bay Window In Kitchen, Newer Kitchen Counters New Tap Front Of House, Gas Fireplace, Microwave (Kitchen Counter) Tool Shed.",Finished,
Detached,2-Storey,Amberlea,"$739,000","$730,000","$4,652",Shadybrook,1922,3,,4,39,2,101,Attached,None,One Of The Sellers Is Rrea See Attached Disclosure. Attach Schedule 'B' & Form 801 With All Offers. Pre-Inspection Report Available For Review. Buyer And Or Buyers Agent To Validate Taxes And Measurements.,"Stunning Detached Dble Garage, 3 Bdrm, 4 Bath Detached Home, In Amberlea, Finished Top To Bottom. This Home Boasts A Bright Oversized Kitchen With B/I Appliances, Ceramic Floors, Backsplash & Pot Lights. Lr W/Gas Fireplace. Master W/3 Pc Ensuite, Dble Door Entry, Large Closet. All Major Items Have Been Upgraded, Furnance, Cac, Roof, Vinyl Siding, Garage Door, Gdo, Gutters/Downspouts, Windows, Bathrooms, Kitchen. Its Ready For You To Move In.","Fridge, B/I Oven, Cook Top, Microwave, B/I Dishwasher, Washer & Dryer, Freezer, Basement Fridge And Stove. All Electrical Light Fixtures, All Window Blinds, (Exclude: Curtains Indining Rm, Mstr & 2nd Bdrm). Gdo & Remote. Hwt Rental ($24.57)",Finished,
Semi-Detach...,2-Storey,Amberlea,"$614,800","$600,500","$3,989",Shadybrook,1853,4,1,3,33,3,110,Attached,None,Easy To Show. Offers Anytime.Email To L.Colby@Hotmail.Com,"Beautiful Large Family Home In A Beautiful Neighbourhood.Fresh Interior & Exterior Decor. Very Well Cared For. Same Owner 40 Years. Lots & Lots Of Updates; Windows,Doors,Floors & More! It's Turnkey - Just Move In & Enjoy! Walk To Schools,Parks & Shops. Only Mins To Go Transit Or 401.Multiple Walkouts To Fenced,Manicured Yard,Decks & Patios.Convenient Walk Thru From Garage To Sunken Entry Foyer W/Powder Room.","This Gorgeous Home Is Finished From Top To Bottom. Nice Cozy Fam Room Down W/Games Room, R/I For Wet Bar & B/I Wall Fridge Or Use As Guest Suite W/2 Pc Bath & R/I Shower.5 Big Bdrms For Large Family.Modern Bright Kit. Incl Appliances",Finished,Full
Detached,2 1/2 Store...,Amberlea,"$869,999","$837,500","$6,248",Silver Maple,1776,3,1,4,44,4,103,Attached,None,Please Attach Schedule 'B' And Form 801 To All Offers. Buyers And Buyers Agent To Verify All Measurements And Property Taxes.,"Absolutely Stunning! This Spacious 3 Bedroom + Den Home Includes A Basement Apartment With Separate Entrance Located In The Neighbourhood Of Amberlea. This Upgraded Home Features An Open Concept Design, Hardwood Flrs & Shutters Throughout, Upgraded Kitchen S/S Appliances, Granite Counter Top & B/S. Fully Upgraded Bathrms, Wood Staircase W/Rod Iron Pickets, Upper-Level Den And 3 Large Size Bedrooms. Finished Basement Apartment W/Separate Entrance. A Must See!","Stainless Steel Fridge, Stove, B/I Dishwasher, Microwave. Washer & Dryer. Basement: Fridge, Stove. All Existing Lighting Fixtures, Shutters, And Window Coverings. Hot Water Tank Rental.",Apartment,Sep Entrance
Detached,2-Storey,Amberlea,"$735,000","$688,000","$5,065",Sunbird,666,4,,3,25,4,110,Attached,None,"All The Measurement & Taxes To Be Verified By Buyer/Buyer Agent, Attach Sch'b'& Form 801With All The Offers, Deposit Chq Must Be Certified","Priced To Sell Immediately. A Lovely Beautiful 4 Bedroom Detached. H/Wood Floor On Main Level. Upgraded Kitchen, Stainless Steel Appliances. Walk-Out To Maintenance Free Backyard W/Interlock Patio. Close To Shopping, 401 And 407, Grocery, Schools, Parks, Transit And Go Station, Hiking/Biking Trails. 4 Spacious Bedroom W/ Double Closets And Large Master W/Walking Closet. 4Pc Ensuite Onlooking The Backyard And A 2nd Floor Laundry. Must See !!!","All Elf's, 2 Fridge, 2 Washer/Dryer. Finished Basement W/Large Party Hall, Finish Basement Has Hidden 3 Storage Areas. 2nd Level Stair Case And 2nd Whole Area Floor Brand New Carpeted, All Window Coverings. Gazebo At Backyard.",Finished,
Detached,2-Storey,Amberlea,"$725,000","$670,000","$5,200",Sunbird,640,4,1,4,25,2,110,Attached,None,"Please Attach Sched B & Form 801 To All Offers. Email To Info@Gondal.Ca. Seller/Seller's Agent Do Not Warrant Any Information Provided. Please Do Your Own Due Diligence. Deposit Must Be Certified Cheque, Money Order Or Bank Draft. *Less Mf 299","Excellent Value For The Biggest 4 Bdrms. This Stunning Open Concept House Is Approx. 2000 Sq Ft. W/New Window Coverings, S/S Appliances. Finished Bsmt W/1 Bdrms, .Basement Was Rent $1000.","S/S Fridge, Stove, Dishwasher, Washer & Dryer. All Light Fixtures, All Window Coverings. Inside Garage Access W/A Garage Door Opener. Close To All Amenities. Main Floor Laundry. Show With Confidence",Apartment,Sep Entrance
Att/Row/Twn...,2-Storey,Amberlea,"$639,000","$605,000","$4,331",Sunbird,767,4,1,4,20,1,110,Built-In,None,"Please Allow 1 Hr. For All Showings, No Survey, Please All 24Hrs. Irrevocable.","Fabulous Coughlan Built 4 Bdr. Town Home With Finished Basement And Inlaw Suite. The Large Open Concept Townhouse Backs To Wooded Area With A Finshed Walk Out Deck. The Main Floor Laundry Room Provides Garage Access. Sought After North Pickering Neighbourhood Close To Shopping, Public Transit And Local High Schools.","Fridge, Stove, Washer And Dryer, Basement Fridge, Garage Door Opener, B/I/Dishwasher, All Electric Light Fixtures, All Window Coverings.",Finished,
Semi-Detach...,2-Storey,Amberlea,"$719,000","$660,000","$5,126",Sunbird,775,4,,3,25,2,110,Attached,None,"Buyer / Buyer's Agent To Verify All Taxes, Fees, Measures. Welcome Offers Anytime. Please Email Offer To Waeguan@Hotmail.Com. W/ 24 Hours Irrevocable. Attache Sche B And For 801 W/Offers. Many Thanks!","A Stunning 4 Bdrm On A Quiet Trail In Pickering. Formal Dining Room, Powder Room, Family Size Kitchen Combined/W Breakfast Area, Family Room W/O To Deck, Open Concept. The Master Has 4Pcs Ensuite With W/I Closet. 2nd Bdrm W/O To Balcony. Upstairs Laundry. New Security System. Nice Backyard With Upgraded Deck. 1 Min Walk To The Park. No Neighbors Behind!!!","Fridge, Stove, Dishwasher, Washer & Dryer. Tv Storage Combination Unit (In Master Bedroom)",Full,
Semi-Detach...,2-Storey,Amberlea,"$649,000","$645,000","$5,169",Swan,745,4,1,4,22,4,130,Built-In,None,Offer Anytime!! Please E-Mail Offers To Thusith.Wee@Gmail.Com Pls Attach Sch B & Form 801 With Offers. All Measurements To Be Confirmed By Buyer/ Buyer's Agent. Thanks For Showing.,"Stunning Semi-Detached Home In Amberlea Community. Double Door Entry,4Br, 4Bath . Features 9Ft Ceilings, Modern Finishes, Spacious Open Concept Layout & Finished Basement W/Kitchen, Main Fl Kitchen Features, Stainless Steel Appliances & Granite Counter Tops. Family Rm W/Fireplace Overlooks Kitchen & Walkout To Backyard. Master Bdrm W/Ensuite Soaker Tub. Laundry Conveniently Located On 2nd Fl. Located On Child Safe Cul De Sac In A Great Family Community.","2 Fridges, 2 Stoves, 2 Range Hoods, B/I Dishwasher, Washer & Dryer (2016), Roof(2016) All Elf's, Window Coverings & California Shutters. Hot Water Tank, Air Conditioner & Furnace Area Rentals.",Finished,
Detached,Bungalow,Bay Ridges,"$639,900","$600,000","$4,020",Annland,663,3,,1,44,5,149,None,None,"W/ Concrete Floor, 6X5 Shed** Protected By Sentrilock Box*Please Allow 24 Hrs Irrevocable*Survey Attached As Schedule. Form 801 And Sched B Attached.","This Move In Ready 3 Bdrm 1 Bath Is An Excellent Investment With A Unique One Of A Kind Property That Has A Private 84Ft Wide Yard With Lake View Paddle Board From Your Yard Into The Bay And Lake, Tons Of Storage, Custom Kitchen, Shinning Hardwood Floors, 200 Amp, Parking 5, 6'2 X 1000 Sqft Basement, Walk To Shopping, Go Transit, Bike & Walking Trails, Beach & Boardwalk, Marina. Includes Wood Shed, New Deck. Backs Onto Water Fowl Sanctuary.","Electric Light Fixtures, Broadloom Where Laid, Window Coverings, Forced Air Gas Furnace, Central Air Conditioning, Fridge, Stove, Washer, Dryer, 12X12 Feet Front Cedar Deck, New 9X28 Feet Backyard Deck, 12X12 Feet Wood Shed",Unfinished,
Semi-Detach...,Backsplit 3,Bay Ridges,"$535,000","$529,500","$3,818",Annland,671,3,1,2,36,6,100,None,None,"Schedule B & Form 801, Please Attach Buyer's Mortgage Pre-Approval","Totally Cool Split Level Home Features Soaring Vaulted Living/Dining Room Ceilings & Stunning Kitchen With Eating Bar & Vaulted Ceilings, Freshly Painted Throughout In Pleasing Tones. Located In Demand South Pickering Community Short Walk To Schools, Go Train, Beach, Waterfront Restaurants & Shops. All Appliances Included.","Fridge, Wall Oven, Built-In Range & Dishwasher, Microwave, Washer & Dryer, Gas Burner & Equipment, Hepa Filter System, Central Air, Steel Gazebo & Fire Pit, Shed, Closet Organizers, All Window Coverings & Electric Light Fixtures Hwt(Rental)",Finished,Part Fin
Detached,2-Storey,Bay Ridges,"$774,900","$740,000","$4,679",Annland,645,4,1,3,50,6,122,None,Abv Grnd,"View Attachments. Schedule B , Form 801 & Copy Of Buyers Pre-Approval To Accompany All Offers. Confirmation For Appointments Will Be Sent To You Via Email.","Nestled On One Of The Most Up And Coming Streets In Bay Ridges! Steps From The Beach, Lake And Backing Onto Protected Conservation! Walk Out From The Main Floor To Huge Deck Over Looking The Private, Oversized, Park Like Backyard. 2 Skylights In The Huge Master Bedroom. Renovated Main Bathroom. Freshly Painted Throughout. Renovated Basement With Separate Entrance, Shared Laundry, Kitchen, Bedroom And 4Pc Bathroom.","Ac 2015, Furnace 2009, Tankless Water Htr 2014, New Attic Insulation 2009, Mostly New Windows 2005, Roof 2005, New Above Ground Pool/Heat Pump 2007. Garage Converted To Sunken Family Room W/ Gas Fireplace, Can Be Converted Back To Garage",Finished,Sep Entrance
Detached,2-Storey,Bay Ridges,"$699,900","$635,000","$2,500",Chapleau,873,4,,2,45,6,103,Attached,None,Email All Offers To Leslie@Remaxhallmark.Com With 24 Hour Irrev. Home Inspection Report Available.Taxes Being Verified.,"Pristine & Clean Custom Built Home In Bay Ridges Is Ready For Another Family To Make It Their Home. Many Great Times Were Shared By Friends & Family In The Beautiful Back Garden With Interlocking Brick Patio And Flower Beds Featuring Walkouts From Dining Room &Off The Kitchen Area. Four Bedrooms, Hardwood Floors, Fireplace, French Doors &Eat In Kitchen Which Many Fine Meals Were Prepared. Stroll Down To The Lake,Marina,Boardwalk, Park & Shops.","Fridge,Cooktop, Built In Stove, Washer/Dryer, Central Air Cond (2013) & Furnace(2013) . Survey As Online. Home Inspection Available.",Finished,
Detached,Bungalow,Bay Ridges,"$524,900","$515,000","$4,271",Haller,1271,3,2,2,50,3,100,Carport,None,All Appliances As Is. Please Call Listing Agent Prior To Offer Re Stigma. 24 Hours Irrevocable,"Lovely Home In Sought After Bay Ridge! Walk To The Lake, Park, Schools And Shopping. Freshly Painted With New Broadloom Through Out. Generously Sized Eat In Kitchen. Separate Entrance To Finished Basement With Kitchen, 3 Piece Bathroom, Rec Room And 2 Bedrooms. Perfect For First Time Buyers, People Looking To Downsize Or Investors! Amazing Opportunity!","Roof, Doors And Most Windows Replaced In 2010. Updated Panel Box.",Finished,
Detached,2-Storey,Bay Ridges,"$1,080,000","$998,500","$3,932",Ilona Park,1268,4,1,4,46,4,85,Built-In,None,Please Attach Form801. Buyer Agent To Verify All Measurements. Hot Water Tank Rented. Showings Through L/A,"Chic And Modern, This Newly Renovated Home Boasts 4 Bedrooms With 4 Brand New Washrooms. W/O To Balcony From The Master. 2nd Floor Laundry. Hardwood, Laminate And Ceramic Floors Throughout, Beautiful Glass Railings, Gasfireplace In Living Room, Textured Wall In Dining Room, New Kitchen With Stainless Steel Appliances.Bright And Airy. Mins. From Beach, Frenchman's Bay","Beautiful And Professionally Done Basement Provides You With A Spacious Family/Rec With A 5th Bedroom With Its Own Ensuite. This Unique Home Is Perfect For Even The Most Fussy Buyer. Close To Millennium Sq, Pickering Town Cente,Go,401",Finished,
